task_completion_time,feedback_rating,attendance_rate,performance_score,outcome
6.49,5.0,100.0,76.87,Excel
8.75,4.64,91.48,67.07,Struggle
6.88,4.24,83.12,58.33,Struggle
6.41,4.22,87.65,62.75,Struggle
5.67,5.0,95.2,77.38,Excel
5.77,4.65,92.55,75.2,Excel
9.3,4.03,86.7,60.8,Struggle
8.12,2.69,82.25,51.86,Struggle
6.62,4.79,97.19,67.93,Struggle
7.08,4.5,93.12,61.62,Struggle
6.37,4.26,99.68,78.38,Excel
5.46,4.8,100.0,85.66,Excel
7.17,3.56,86.62,65.94,Struggle
5.91,5.0,100.0,77.13,Excel
8.27,4.6,100.0,55.03,Struggle
6.47,4.74,99.57,66.28,Struggle
7.52,5.0,91.31,67.7,Struggle
8.29,4.26,89.84,65.7,Struggle
7.9,4.11,93.85,62.67,Struggle
8.39,3.65,87.71,56.75,Struggle
7.64,3.38,83.91,57.26,Struggle
8.58,4.73,98.31,66.98,Struggle
8.41,3.28,97.72,56.77,Struggle
6.74,4.0,100.0,73.78,Excel
5.5,5.0,91.95,82.93,Excel
4.37,5.0,100.0,84.02,Excel
8.23,2.94,89.61,49.45,Struggle
5.05,5.0,100.0,77.63,Excel
8.14,3.73,97.06,63.15,Struggle
5.18,4.21,100.0,79.24,Excel
7.16,4.21,97.41,70.66,Excel
9.4,4.21,85.47,60.5,Struggle
8.52,4.39,86.02,67.01,Struggle
7.51,5.0,95.84,69.14,Struggle
6.85,3.83,92.26,67.84,Struggle
6.39,5.0,97.81,91.48,Excel
5.67,4.24,100.0,74.87,Excel
6.94,4.79,94.34,65.8,Struggle
8.19,4.24,86.54,63.41,Struggle
5.83,4.71,97.22,72.24,Excel
7.29,5.0,100.0,67.94,Struggle
8.22,4.09,92.89,82.27,Excel
7.71,5.0,100.0,71.59,Excel
5.66,4.74,96.37,79.03,Excel
3.4,5.0,98.51,87.68,Excel
6.25,4.51,96.87,78.23,Excel
7.76,3.98,88.09,73.58,Excel
4.5,4.87,94.86,88.09,Excel
7.48,4.18,95.37,61.16,Struggle
6.78,3.87,100.0,71.03,Excel
8.86,4.7,93.86,57.35,Struggle
8.63,3.76,94.8,63.34,Struggle
7.64,2.22,85.24,49.07,Struggle
9.57,2.94,86.56,48.57,Struggle
4.48,5.0,100.0,81.16,Excel
6.85,4.38,97.66,69.72,Struggle
7.58,5.0,89.38,81.7,Excel
8.31,3.52,86.64,53.96,Struggle
6.66,3.98,98.21,71.55,Excel
8.42,4.14,95.6,66.34,Struggle
7.06,4.28,93.91,69.06,Struggle
8.19,4.17,98.32,64.03,Struggle
8.26,4.68,97.98,74.75,Excel
7.67,4.26,96.73,66.67,Struggle
7.52,4.05,100.0,62.22,Struggle
9.07,4.07,92.05,62.35,Struggle
6.11,4.43,91.55,78.33,Excel
6.28,4.15,96.33,69.18,Struggle
7.86,4.03,88.35,60.5,Struggle
5.38,3.84,92.57,71.41,Excel
8.24,5.0,95.75,69.87,Struggle
7.73,3.65,91.6,57.41,Struggle
8.14,4.66,99.61,72.38,Excel
7.53,4.17,93.48,62.56,Struggle
7.48,5.0,99.92,84.83,Excel
8.45,4.03,100.0,59.39,Struggle
7.03,2.83,88.17,53.97,Struggle
7.23,5.0,100.0,72.2,Excel
8.17,3.2,99.67,64.56,Struggle
5.64,4.8,92.08,84.22,Excel
7.6,3.45,87.26,57.3,Struggle
5.47,4.7,98.72,82.31,Excel
5.34,4.06,100.0,77.71,Excel
9.11,4.01,97.15,60.24,Struggle
7.21,5.0,100.0,78.39,Excel
5.01,5.0,100.0,75.17,Excel
5.85,3.56,92.67,76.17,Excel
8.57,3.75,86.85,57.42,Struggle
6.68,3.6,96.47,60.06,Struggle
6.86,4.33,95.78,65.51,Struggle
8.0,3.87,97.21,60.73,Struggle
7.49,3.41,88.27,53.97,Struggle
5.56,5.0,100.0,81.19,Excel
7.78,4.65,91.24,65.34,Struggle
4.9,3.48,100.0,81.95,Excel
7.76,4.41,100.0,74.39,Excel
6.14,3.52,95.38,64.14,Struggle
7.42,3.01,96.32,63.85,Struggle
8.49,4.43,90.65,71.37,Excel
5.56,4.63,93.32,70.58,Excel
8.21,4.26,100.0,62.68,Struggle
6.77,3.68,92.81,61.69,Struggle
6.75,4.44,91.81,68.18,Struggle
6.93,4.36,99.27,75.39,Excel
8.8,3.07,89.51,48.85,Struggle
6.73,3.34,87.27,57.78,Struggle
4.86,4.75,92.14,77.59,Excel
6.1,4.24,100.0,71.35,Excel
5.24,5.0,100.0,70.67,Excel
8.17,3.82,92.87,58.24,Struggle
6.78,5.0,96.71,77.75,Excel
6.82,3.94,94.91,65.89,Struggle
8.86,5.0,94.82,73.28,Excel
5.27,3.65,83.61,67.63,Struggle
8.66,4.57,94.0,69.02,Struggle
8.89,3.46,76.55,57.49,Struggle
6.33,4.92,100.0,79.02,Excel
6.35,4.12,100.0,68.17,Struggle
6.47,4.68,97.03,80.35,Excel
7.11,3.6,90.23,65.23,Struggle
5.51,5.0,100.0,84.03,Excel
4.82,4.9,95.49,90.4,Excel
6.45,4.93,92.64,88.1,Excel
7.01,4.84,98.05,75.47,Excel
8.06,4.87,97.77,78.22,Excel
6.39,4.03,92.72,75.29,Excel
9.8,3.31,84.4,45.0,Struggle
9.06,3.44,80.28,45.44,Struggle
8.92,4.07,85.81,57.02,Struggle
4.51,4.21,92.48,82.04,Excel
6.74,5.0,98.71,89.59,Excel
6.97,4.42,96.29,70.44,Excel
6.88,4.04,89.41,63.53,Struggle
6.67,5.0,82.28,78.37,Excel
3.99,4.98,99.37,80.67,Excel
6.47,4.81,95.79,82.08,Excel
5.33,4.57,100.0,73.57,Excel
6.22,4.64,100.0,78.8,Excel
8.43,3.64,96.27,62.81,Struggle
7.56,3.59,98.07,62.48,Struggle
8.44,3.73,85.34,49.93,Struggle
5.27,5.0,87.62,88.33,Excel
6.75,4.25,98.05,71.12,Excel
6.29,5.0,98.7,78.24,Excel
5.06,3.91,100.0,76.99,Excel
7.16,4.46,91.38,65.57,Struggle
5.87,4.72,87.47,80.56,Excel
6.9,5.0,100.0,81.47,Excel
7.1,2.98,85.93,60.55,Struggle
7.73,3.59,88.31,53.23,Struggle
6.34,3.36,95.65,61.31,Struggle
5.52,5.0,100.0,85.43,Excel
7.55,5.0,91.64,77.44,Excel
7.49,4.86,88.35,79.22,Excel
5.91,5.0,100.0,83.48,Excel
7.45,3.33,86.78,62.33,Struggle
5.53,4.7,98.94,82.29,Excel
7.02,5.0,100.0,67.6,Struggle
6.89,4.79,90.76,67.3,Struggle
6.17,5.0,100.0,79.47,Excel
5.78,5.0,97.38,78.05,Excel
7.45,3.98,99.73,62.47,Struggle
6.7,5.0,95.05,81.12,Excel
8.38,3.95,87.98,65.47,Struggle
8.8,5.0,90.6,64.23,Struggle
7.49,5.0,100.0,72.63,Excel
7.09,3.09,84.44,58.22,Struggle
8.37,4.04,100.0,62.72,Struggle
7.71,3.81,96.66,64.81,Struggle
6.92,5.0,94.27,72.23,Excel
6.91,3.71,97.83,73.86,Excel
6.6,4.29,89.39,73.18,Excel
5.33,5.0,100.0,79.61,Excel
7.58,4.33,96.35,78.18,Excel
6.33,3.6,90.46,66.34,Struggle
5.14,5.0,100.0,89.4,Excel
4.57,5.0,100.0,89.11,Excel
6.2,5.0,100.0,84.75,Excel
6.89,5.0,100.0,83.34,Excel
6.35,4.86,100.0,73.57,Excel
6.33,4.64,100.0,77.08,Excel
5.61,4.8,98.46,90.62,Excel
7.45,4.34,100.0,69.1,Struggle
7.4,4.66,94.16,71.54,Excel
5.17,5.0,96.87,88.52,Excel
7.58,3.67,95.21,62.86,Struggle
9.3,3.34,81.23,52.72,Struggle
6.36,4.45,93.71,70.36,Excel
8.83,3.96,88.1,67.63,Struggle
6.28,3.41,89.42,66.35,Struggle
7.53,3.63,100.0,63.86,Struggle
6.5,5.0,100.0,80.22,Excel
7.85,4.88,100.0,71.35,Excel
5.24,5.0,100.0,75.87,Excel
6.22,4.9,92.38,74.25,Excel
7.96,2.05,77.63,49.73,Struggle
6.84,4.39,98.69,72.03,Excel
9.37,4.14,88.1,57.68,Struggle
4.8,4.4,92.63,73.75,Excel
9.01,4.55,90.74,65.38,Struggle
6.88,5.0,98.76,79.68,Excel
7.6,4.95,100.0,70.6,Excel
6.21,5.0,98.14,87.38,Excel
6.2,4.28,94.39,74.85,Excel
6.03,4.7,100.0,86.41,Excel
6.71,4.72,100.0,70.1,Excel
5.52,4.45,96.95,74.84,Excel
4.59,4.61,100.0,88.15,Excel
5.28,5.0,100.0,82.02,Excel
6.99,4.14,100.0,76.94,Excel
7.86,4.27,93.18,62.98,Struggle
7.48,4.58,94.36,67.91,Struggle
3.57,5.0,90.16,85.44,Excel
6.55,4.31,87.06,71.48,Excel
7.51,4.41,88.35,71.89,Excel
5.81,3.89,100.0,77.22,Excel
6.91,4.03,100.0,71.47,Excel
7.71,4.78,95.85,69.59,Struggle
7.02,4.72,94.9,76.37,Excel
7.14,3.35,99.18,65.44,Struggle
3.36,5.0,99.29,95.94,Excel
8.39,3.25,86.68,64.42,Struggle
7.36,4.72,96.52,72.49,Excel
9.13,4.59,97.83,69.32,Struggle
7.36,5.0,94.81,81.44,Excel
8.16,3.34,88.95,58.58,Struggle
7.18,5.0,98.87,73.77,Excel
7.47,4.36,100.0,73.19,Excel
8.6,4.15,94.14,61.3,Struggle
5.89,3.69,100.0,67.02,Struggle
5.59,3.49,83.43,75.11,Excel
5.55,5.0,100.0,80.16,Excel
10.0,2.21,74.28,45.0,Struggle
6.55,5.0,100.0,82.05,Excel
6.71,4.91,98.48,72.35,Excel
5.52,4.18,88.65,67.85,Struggle
8.26,4.97,88.05,62.8,Struggle
5.31,4.85,100.0,76.88,Excel
5.59,4.16,97.13,67.11,Struggle
6.65,4.94,98.32,83.38,Excel
6.48,4.54,98.34,74.68,Excel
6.27,4.09,88.19,78.38,Excel
7.24,3.29,93.26,59.94,Struggle
5.39,5.0,97.06,92.43,Excel
8.2,4.0,91.13,61.08,Struggle
7.14,4.25,99.17,81.02,Excel
6.05,4.02,100.0,68.94,Struggle
7.45,5.0,100.0,82.35,Excel
7.08,3.88,88.03,61.61,Struggle
7.95,3.28,90.05,49.89,Struggle
7.59,3.6,98.52,69.64,Struggle
9.58,3.88,85.43,53.94,Struggle
6.66,5.0,93.19,76.51,Excel
7.95,3.1,84.25,61.15,Struggle
6.79,4.51,98.87,79.18,Excel
9.21,4.68,96.67,62.54,Struggle
6.75,4.83,100.0,71.92,Excel
6.16,3.86,82.83,56.28,Struggle
9.2,4.63,100.0,65.01,Struggle
7.99,4.2,95.84,66.96,Struggle
8.49,3.91,87.88,62.06,Struggle
7.7,3.86,95.94,66.54,Struggle
7.84,5.0,97.66,72.12,Excel
6.92,3.46,85.39,60.96,Struggle
7.49,4.4,97.72,69.59,Struggle
7.54,3.14,79.07,58.6,Struggle
7.07,5.0,100.0,76.46,Excel
6.64,4.05,91.37,69.46,Struggle
6.88,4.71,100.0,79.22,Excel
5.56,3.98,80.74,68.66,Struggle
6.08,3.97,92.95,67.83,Struggle
8.4,3.04,74.65,51.28,Struggle
7.59,4.45,90.06,73.29,Excel
7.09,3.84,91.99,61.08,Struggle
8.84,3.61,86.07,62.78,Struggle
6.49,4.79,90.93,83.47,Excel
6.0,5.0,95.36,82.54,Excel
8.08,5.0,96.66,67.09,Struggle
5.98,5.0,97.98,77.76,Excel
5.51,4.03,100.0,71.83,Excel
8.32,4.36,93.36,69.59,Struggle
6.15,4.7,89.6,73.44,Excel
6.56,5.0,100.0,74.54,Excel
6.36,5.0,100.0,81.09,Excel
7.67,4.54,93.5,63.26,Struggle
10.0,2.67,84.06,45.0,Struggle
7.59,5.0,93.62,71.23,Excel
6.54,5.0,98.87,81.23,Excel
7.68,4.89,91.83,72.47,Excel
6.96,4.3,97.93,70.87,Excel
8.47,4.71,100.0,70.88,Excel
9.07,3.53,92.64,58.97,Struggle
5.88,4.21,90.06,69.58,Struggle
8.23,4.95,91.96,70.95,Excel
5.49,5.0,100.0,78.1,Excel
6.39,5.0,93.8,74.68,Excel
6.09,5.0,96.61,79.94,Excel
4.88,4.08,92.03,82.35,Excel
9.97,3.79,93.16,61.62,Struggle
7.56,5.0,100.0,76.73,Excel
5.87,4.46,98.87,75.61,Excel
8.04,4.61,93.18,74.78,Excel
7.66,3.36,79.96,56.42,Struggle
8.6,4.64,89.27,73.67,Excel
6.67,5.0,96.31,74.55,Excel
8.07,5.0,98.0,65.63,Struggle
5.13,4.65,94.97,77.43,Excel
8.71,3.18,81.18,45.0,Struggle
8.79,5.0,92.58,63.96,Struggle
5.65,4.83,100.0,86.36,Excel
6.87,3.9,90.36,65.28,Struggle
7.64,4.22,100.0,66.62,Struggle
6.27,3.18,99.31,69.66,Struggle
7.28,4.49,85.78,65.11,Struggle
5.15,5.0,92.19,83.78,Excel
5.41,4.96,91.15,75.82,Excel
8.0,4.01,96.31,66.32,Struggle
6.66,4.63,94.33,73.81,Excel
4.88,3.97,94.16,64.02,Struggle
8.38,4.82,90.06,63.13,Struggle
8.51,3.97,90.09,57.83,Struggle
7.84,4.64,91.85,66.83,Struggle
5.66,4.67,93.15,76.43,Excel
4.9,5.0,100.0,90.13,Excel
5.48,4.93,92.23,89.01,Excel
5.74,5.0,100.0,85.29,Excel
5.79,4.37,100.0,74.75,Excel
6.35,4.37,100.0,68.86,Struggle
8.39,4.37,97.38,60.08,Struggle
6.49,5.0,100.0,90.98,Excel
6.89,4.84,96.13,76.08,Excel
7.39,4.88,88.49,76.43,Excel
5.89,4.13,98.55,80.45,Excel
6.02,4.13,99.09,76.37,Excel
6.81,4.06,89.19,75.55,Excel
8.46,4.97,98.38,67.37,Struggle
6.67,4.19,98.64,65.41,Struggle
5.64,5.0,100.0,80.13,Excel
6.09,5.0,91.2,78.09,Excel
4.55,5.0,100.0,86.72,Excel
7.23,4.93,100.0,76.64,Excel
7.85,5.0,93.13,66.0,Struggle
6.05,3.98,100.0,69.97,Struggle
7.4,4.44,98.09,67.83,Struggle
6.36,5.0,100.0,73.9,Excel
5.65,5.0,100.0,90.59,Excel
6.82,4.26,92.37,73.61,Excel
7.16,2.9,91.67,67.11,Struggle
6.91,4.37,100.0,67.33,Struggle
7.8,4.79,97.14,75.66,Excel
9.71,2.45,72.33,45.0,Struggle
5.83,5.0,100.0,87.25,Excel
6.51,5.0,95.19,75.52,Excel
9.8,3.81,91.4,57.04,Struggle
8.66,4.11,96.19,58.49,Struggle
7.38,3.59,86.25,57.71,Struggle
7.97,2.8,91.77,55.09,Struggle
7.78,3.15,89.31,63.94,Struggle
8.52,3.19,88.98,55.59,Struggle
7.24,3.55,96.62,64.14,Struggle
5.51,5.0,96.94,72.16,Excel
8.46,3.7,79.17,60.37,Struggle
7.51,4.92,97.07,71.3,Excel
5.52,3.51,89.49,63.91,Struggle
7.18,4.21,91.09,68.38,Struggle
5.58,5.0,96.72,80.96,Excel
6.7,5.0,99.98,74.12,Excel
5.59,4.67,96.64,77.48,Excel
5.21,4.05,94.82,75.99,Excel
9.04,3.35,94.71,57.12,Struggle
9.26,3.42,96.36,59.96,Struggle
8.9,3.87,93.09,60.1,Struggle
7.91,4.72,85.59,73.29,Excel
9.28,3.97,81.23,52.9,Struggle
7.61,3.58,93.37,68.51,Struggle
5.39,5.0,93.56,76.8,Excel
7.89,4.36,96.86,67.05,Struggle
5.98,4.78,94.03,76.98,Excel
6.6,4.51,97.18,73.03,Excel
7.02,4.98,95.95,73.28,Excel
6.14,5.0,100.0,78.89,Excel
5.09,4.11,91.27,75.9,Excel
7.93,5.0,100.0,63.27,Struggle
6.62,3.76,91.45,64.37,Struggle
9.23,2.68,86.3,57.75,Struggle
5.16,3.71,95.91,83.07,Excel
8.42,3.43,88.32,69.63,Struggle
8.38,3.73,92.91,60.32,Struggle
6.38,4.72,94.82,78.34,Excel
7.65,4.16,98.78,66.97,Struggle
9.59,2.88,82.87,45.0,Struggle
3.83,5.0,100.0,89.78,Excel
7.33,4.63,97.95,74.35,Excel
6.74,4.38,94.47,76.99,Excel
3.61,5.0,98.94,89.18,Excel
8.42,4.64,89.19,67.16,Struggle
6.35,3.5,94.45,71.51,Excel
7.34,4.97,94.36,75.15,Excel
7.15,5.0,100.0,77.14,Excel
6.17,4.6,99.54,72.68,Excel
7.36,3.6,90.08,52.8,Struggle
6.84,4.12,99.36,75.0,Excel
7.44,3.05,82.26,60.3,Struggle
6.88,3.28,97.21,57.55,Struggle
7.23,5.0,88.76,57.16,Struggle
8.66,5.0,96.97,66.13,Struggle
5.42,5.0,100.0,87.62,Excel
5.32,5.0,100.0,73.86,Excel
7.11,3.72,92.29,60.56,Struggle
6.16,5.0,98.97,79.88,Excel
5.51,4.57,97.61,71.58,Excel
7.14,4.35,92.22,69.89,Struggle
6.22,5.0,98.74,80.11,Excel
5.0,3.98,99.2,81.32,Excel
7.51,5.0,100.0,70.86,Excel
7.85,4.81,92.72,67.2,Struggle
7.6,3.68,83.52,57.47,Struggle
7.41,3.59,86.63,68.45,Struggle
7.06,4.91,90.94,78.06,Excel
7.73,3.82,86.85,65.62,Struggle
5.82,4.19,100.0,69.13,Struggle
4.87,5.0,100.0,87.55,Excel
7.25,4.09,87.27,69.2,Struggle
7.16,3.59,79.62,59.49,Struggle
